,word1,word2,similarity
265,sky,sunrise,42.000000
266,canine,husky,42.000000
267,food,meat,42.000000
268,cloud,sky,42.000000
269,crow,feather,42.000000
270,blossom,flower,42.000000
271,splash,swim,42.000000
272,band,musician,42.000000
273,cactus,plant,42.000000
274,eagle,hawk,42.000000
275,harbour,sea,42.000000
276,flower,foliage,42.000000
277,red,violet,42.000000
278,music,sing,42.000000
279,breakfast,morning,42.000000
280,cafe,restaurant,42.000000
281,beach,coast,42.000000
282,puddle,splash,42.000000
283,bird,pelican,42.000000
284,clothes,sock,42.000000
285,amphibian,lizard,41.000000
286,daughter,son,41.000000
287,car,motor,41.000000
288,amphibian,reptile,41.000000
289,day,morning,41.000000
290,aircraft,fly,41.000000
291,airplane,airport,41.000000
292,metro,train,41.000000
293,band,music,41.000000
294,shadow,sunlight,41.000000
295,night,sleep,41.000000
296,salad,soup,41.000000
297,porch,roof,41.000000
298,eye,tear,41.000000
299,colour,rainbow,41.000000
300,berry,fruit,41.000000
301,red,yellow,41.000000
302,sock,stocking,41.000000
303,flamingo,hummingbird,41.000000
304,tree,twig,41.000000
305,kiss,lip,41.000000
306,burger,sandwich,41.000000
307,pregnant,woman,41.000000
308,rain,weather,41.000000
309,dinner,eat,41.000000
310,feather,hawk,41.000000
311,animal,zoo,41.000000
312,duck,mallard,41.000000
313,mountain,valley,41.000000
314,beach,harbour,41.000000
315,musician,rock,41.000000
316,band,guitar,41.000000
317,car,garage,41.000000
318,foot,leg,41.000000
319,sky,sunlight,41.000000
320,mist,rain,41.000000
321,mother,son,41.000000
322,airplane,wing,41.000000
323,colour,red,41.000000
324,music,musician,41.000000
325,bay,beach,41.000000
326,blonde,redhead,41.000000
327,petal,plant,41.000000
328,kitchen,room,41.000000
329,lingerie,sexy,41.000000
330,automobile,parking,41.000000
331,bar,restaurant,41.000000
332,bedroom,room,41.000000
333,bus,taxi,41.000000
334,fun,happy,41.000000
335,station,train,41.000000
336,pelican,stork,41.000000
337,black,grey,41.000000
338,orange,yellow,41.000000
339,foliage,petal,41.000000
340,park,parking,41.000000
341,lip,tongue,41.000000
342,fog,misty,41.000000
343,canine,poodle,41.000000
344,bath,wash,41.000000
345,foliage,tree,41.000000
346,panorama,view,41.000000
347,bloom,daisy,41.000000
348,escalator,stair,41.000000
349,petal,tulip,41.000000
350,fishing,sea,41.000000
351,beef,cattle,41.000000
352,noodle,rice,41.000000
353,bird,parrot,41.000000
354,fruit,orange,41.000000
355,mural,painting,41.000000
356,airport,flight,41.000000
357,shopping,store,41.000000
358,summer,sunny,41.000000
359,road,sidewalk,41.000000
360,airplane,fly,41.000000
361,guitar,music,40.000000
362,cat,whisker,40.000000
363,family,friend,40.000000
364,bloom,petal,40.000000
365,musician,piano,40.000000
366,dirty,wash,40.000000
367,elephant,giraffe,40.000000
368,puppy,terrier,40.000000
369,breakfast,kitchen,40.000000
370,subway,underground,40.000000
371,sand,shore,40.000000
372,butterfly,dragonfly,40.000000
373,cheetah,lion,40.000000
374,color,yellow,40.000000
375,door,lock,40.000000
376,bright,sunlight,40.000000
377,van,vehicle,40.000000
378,orange,red,40.000000
379,beetle,insect,40.000000
380,kid,mom,40.000000
381,daughter,mother,40.000000
382,child,school,40.000000
383,giraffe,zebra,40.000000
384,harbor,harbour,40.000000
385,lamb,sheep,40.000000
386,heart,love,40.000000
387,lily,rose,40.000000
388,asphalt,road,40.000000
389,morning,sunny,40.000000
390,coast,shore,40.000000
391,sunny,sunset,40.000000
392,nest,twig,40.000000
393,happy,smile,40.000000
394,figure,skating,40.000000
395,rail,train,40.000000
396,door,wall,40.000000
397,dawn,sun,40.000000
398,feather,stork,40.000000
399,morning,sunshine,40.000000
400,building,construction,40.000000
401,cafe,coffee,40.000000
402,bloom,bud,40.000000
403,jacket,leather,40.000000
404,map,travel,40.000000
405,plant,seed,40.000000
406,city,metro,40.000000
407,pebble,sand,40.000000
408,cafe,lunch,40.000000
409,coast,harbour,40.000000
410,dog,pug,40.000000
411,sky,sun,40.000000
412,mallard,swan,40.000000
413,cloud,rain,40.000000
414,sky,sunshine,40.000000
415,frost,weather,40.000000
416,cherry,raspberry,40.000000
417,downtown,street,40.000000
418,bloom,dandelion,40.000000
419,dragonfly,insect,40.000000
420,bottle,wine,40.000000
421,feel,happy,40.000000
422,railway,station,40.000000
423,beach,swimming,40.000000
424,cafe,diner,40.000000
425,cafe,pub,40.000000
426,building,tall,40.000000
427,burger,meat,40.000000
428,gold,silver,40.000000
429,summer,weather,40.000000
430,military,soldier,40.000000
431,cemetery,grave,40.000000
432,pizza,restaurant,39.000000
433,bright,colour,39.000000
434,canine,paw,39.000000
435,swim,underwater,39.000000
436,sea,swim,39.000000
437,pub,restaurant,39.000000
438,day,time,39.000000
439,canine,terrier,39.000000
440,bottle,glass,39.000000
441,bed,relax,39.000000
442,seed,sunflower,39.000000
443,bird,owl,39.000000
444,art,sculpture,39.000000
445,light,shade,39.000000
446,apartment,staircase,39.000000
447,outfit,sock,39.000000
448,carrot,potato,39.000000
449,lizard,snake,39.000000
450,city,sidewalk,39.000000
451,guitar,rock,39.000000
452,brick,building,39.000000
453,eat,soup,39.000000
454,dew,misty,39.000000
455,blue,colour,39.000000
456,dawn,morning,39.000000
457,cooking,restaurant,39.000000
458,bay,sea,39.000000
459,cafe,shop,39.000000
460,floor,roof,39.000000
461,clothes,hat,39.000000
462,marble,stone,39.000000
463,duck,goose,39.000000
464,collection,museum,39.000000
465,happy,love,39.000000
466,bakery,shop,39.000000
467,mist,wet,39.000000
468,blossom,petal,39.000000
469,bright,light,39.000000
470,rice,sushi,39.000000
471,cooking,meat,39.000000
472,day,night,39.000000
473,kiss,love,39.000000
474,stream,waterfall,39.000000
475,interior,room,39.000000
476,surf,surfer,39.000000
477,poodle,terrier,39.000000
478,cold,frost,39.000000
479,city,town,39.000000
480,ocean,underwater,39.000000
481,harbor,sailing,39.000000
482,scenery,sunset,39.000000
483,green,violet,39.000000
484,harbor,ship,39.000000
485,summer,sunshine,39.000000
486,blue,grey,39.000000
487,art,graphic,39.000000
488,lake,shore,39.000000
489,rust,rusty,39.000000
490,architecture,design,39.000000
491,goose,swan,39.000000
492,architecture,construction,39.000000
493,hawk,nest,39.000000
494,carrot,salad,39.000000
495,fruit,tomato,39.000000
496,purple,violet,39.000000
497,misty,rain,39.000000
498,clothes,jean,39.000000
499,bloom,daffodil,39.000000
500,brick,construction,39.000000
501,diner,restaurant,39.000000
502,ceiling,roof,39.000000
503,paint,portrait,39.000000
504,ripple,wave,39.000000
505,beard,face,39.000000
506,apple,raspberry,39.000000
507,fashion,outfit,39.000000
508,downtown,skyscraper,39.000000
509,bud,daffodil,39.000000
510,harbor,shore,39.000000
511,blonde,hair,39.000000
512,kitten,paw,39.000000
513,bay,shore,39.000000
514,shop,store,39.000000
515,gravestone,memorial,38.000000
516,canine,pug,38.000000
517,crow,hawk,38.000000
518,dress,outfit,38.000000
519,city,urban,38.000000
520,bedroom,door,38.000000
521,bus,tram,38.000000
522,spring,summer,38.000000
523,scenery,waterfall,38.000000
524,road,traffic,38.000000
525,hill,valley,38.000000
526,ceiling,floor,38.000000
527,splash,water,38.000000
528,grass,weed,38.000000
529,sunny,weather,38.000000
530,parrot,wing,38.000000
531,daisy,violet,38.000000
532,copper,silver,38.000000
533,baseball,hockey,38.000000
534,pet,poodle,38.000000
535,blossom,foliage,38.000000
536,pink,purple,38.000000
537,grey,shade,38.000000
538,panorama,scenery,38.000000
539,downtown,metro,38.000000
540,beard,hair,38.000000
541,dandelion,petal,38.000000
542,blue,violet,38.000000
543,daisy,flower,38.000000
544,noodle,soup,38.000000
545,pet,puppy,38.000000
546,bud,petal,38.000000
547,ancient,ruin,38.000000
548,eye,iris,38.000000
549,puddle,water,38.000000
550,harbor,sea,38.000000
551,painting,sculpture,38.000000
552,sand,sea,38.000000
553,feline,kitten,38.000000
554,bird,swan,38.000000
555,baseball,game,38.000000
556,colour,purple,38.000000
557,pool,splash,38.000000
558,cattle,sheep,38.000000
559,landscape,scenery,38.000000
560,coin,gold,38.000000
561,boat,shore,38.000000
562,skyscraper,tall,38.000000
563,apple,cherry,38.000000
564,beef,chicken,38.000000
565,hot,sunny,38.000000
566,dessert,fruit,38.000000
567,photographer,portrait,38.000000
568,chicken,meat,38.000000
569,ceiling,interior,38.000000
570,bathroom,bedroom,38.000000
571,hummingbird,stork,38.000000
572,motor,vehicle,38.000000
573,colour,grey,38.000000
574,blue,orange,38.000000
575,dawn,dusk,38.000000
576,building,downtown,38.000000
577,face,tear,38.000000
578,boat,harbour,38.000000
579,cattle,farm,38.000000
580,drip,wet,38.000000
581,brown,green,38.000000
582,bedroom,ceiling,38.000000
583,bread,eat,38.000000
584,dinner,evening,38.000000
585,face,smile,38.000000
586,bride,dress,38.000000
587,stone,wall,38.000000
588,mural,paint,38.000000
589,foliage,plant,38.000000
590,day,dusk,38.000000
591,roof,wall,38.000000
592,cooking,food,38.000000
593,photography,portrait,38.000000
594,bud,foliage,38.000000
595,lily,pond,37.000000
596,harbour,shore,37.000000
597,palm,tree,37.000000
598,bus,subway,37.000000
599,holiday,travel,37.000000
600,skyline,view,37.000000
601,bedroom,cottage,37.000000
602,dinner,lunch,37.000000
603,grave,memorial,37.000000
604,dessert,sweet,37.000000
605,bird,insect,37.000000
606,concert,rock,37.000000
607,mushroom,tomato,37.000000
608,metro,railway,37.000000
609,giraffe,zoo,37.000000
610,railway,subway,37.000000
611,misty,weather,37.000000
612,parrot,pelican,37.000000
613,bedroom,sleep,37.000000
614,autumn,summer,37.000000
615,automobile,truck,37.000000
616,amphibian,mammal,37.000000
617,cemetery,memorial,37.000000
618,orange,purple,37.000000
619,blue,color,37.000000
620,daffodil,rose,37.000000
621,berry,seed,37.000000
622,hummingbird,mallard,37.000000
623,dandelion,grass,37.000000
624,brick,concrete,37.000000
625,costume,dress,37.000000
626,cloud,mist,37.000000
627,sea,tropical,37.000000
628,brown,grey,37.000000
629,bathroom,room,37.000000
630,daisy,plant,37.000000
631,paint,picture,37.000000
632,eye,lip,37.000000
633,autumn,winter,37.000000
634,drip,rain,37.000000
635,horizon,sky,37.000000
636,black,blue,37.000000
637,metro,station,37.000000
638,alley,street,37.000000
639,child,family,37.000000
640,mountain,scenery,37.000000
641,concrete,construction,37.000000
642,mill,windmill,37.000000
643,summer,winter,37.000000
644,plant,twig,37.000000
645,breakfast,lunch,37.000000
646,concrete,floor,37.000000
647,rain,sky,37.000000
648,food,frozen,37.000000
649,moss,plant,37.000000
650,flower,spring,37.000000
651,bird,mallard,37.000000
652,graphic,illustration,37.000000
653,eat,fruit,37.000000
654,ceiling,porch,37.000000
655,river,valley,37.000000
656,fog,mist,37.000000
657,dude,guy,37.000000
658,moon,sky,37.000000
659,bar,sushi,37.000000
660,beauty,scenery,37.000000
661,feather,mallard,37.000000
662,furniture,patio,37.000000
663,light,shadow,37.000000
664,bay,harbour,37.000000
665,wash,water,37.000000
666,flight,owl,37.000000
667,paw,whisker,37.000000
668,costume,wig,37.000000
669,animal,giraffe,37.000000
670,autumn,foliage,37.000000
671,animal,cattle,37.000000
672,building,skyscraper,37.000000
673,ice,skating,37.000000
674,meat,potato,37.000000
675,bud,twig,37.000000
676,knit,stitch,37.000000
677,hot,sunshine,37.000000
678,bed,room,37.000000
679,music,rock,37.000000
680,cooking,rice,37.000000
681,berry,cherry,37.000000
682,piano,play,37.000000
683,flower,lily,37.000000
684,cherry,strawberry,37.000000
685,clothes,skirt,37.000000
686,art,painting,37.000000
687,bird,gull,37.000000
688,spiral,staircase,37.000000
689,paw,pet,37.000000
690,feather,nest,37.000000
691,feather,owl,37.000000
692,blossom,cherry,37.000000
693,goat,sheep,37.000000
694,green,pink,37.000000
695,foliage,garden,37.000000
696,dog,husky,37.000000
697,feather,hummingbird,37.000000
698,sunshine,weather,37.000000
699,snow,weather,37.000000
700,surfer,wave,37.000000
701,breakfast,dinner,37.000000
702,shoe,toe,37.000000
703,band,play,37.000000
704,coffee,mug,37.000000
705,brick,wall,37.000000
706,fishing,sailing,37.000000
707,grey,white,37.000000
708,orange,strawberry,37.000000
709,color,purple,37.000000
710,blossom,daisy,37.000000
711,hawk,owl,37.000000
712,exhibition,photography,37.000000
713,morning,night,37.000000
714,band,concert,37.000000
715,dress,shirt,37.000000
716,river,waterfall,37.000000
717,ceramic,tile,36.000000
718,cloud,droplet,36.000000
719,exhibition,sculpture,36.000000
720,oak,twig,36.000000
721,movie,television,36.000000
722,butterfly,hummingbird,36.000000
723,daisy,grass,36.000000
724,floor,marble,36.000000
725,canyon,river,36.000000
726,decoration,interior,36.000000
727,flamingo,stork,36.000000
728,bear,mother,36.000000
729,moon,sun,36.000000
730,musician,sing,36.000000
731,green,red,36.000000
732,purple,white,36.000000
733,canine,pet,36.000000
734,morning,sleep,36.000000
735,weather,winter,36.000000
736,sky,sunny,36.000000
737,jacket,sock,36.000000
738,blue,red,36.000000
739,green,grey,36.000000
740,lily,petal,36.000000
741,blue,purple,36.000000
742,goose,mallard,36.000000
743,hotel,restaurant,36.000000
744,downtown,urban,36.000000
745,jean,skirt,36.000000
746,guy,people,36.000000
747,birthday,happy,36.000000
748,chicken,soup,36.000000
749,fly,wing,36.000000
750,door,room,36.000000
751,skyline,skyscraper,36.000000
752,cheetah,giraffe,36.000000
753,feline,pet,36.000000
754,car,parking,36.000000
755,gull,mallard,36.000000
756,spring,winter,36.000000
757,daffodil,spring,36.000000
758,building,skyline,36.000000
759,salad,tomato,36.000000
760,book,write,36.000000
761,bucket,water,36.000000
762,lady,sexy,36.000000
763,ceiling,room,36.000000
764,puddle,rain,36.000000
765,costume,outfit,36.000000
766,hill,scenery,36.000000
767,bacon,chicken,36.000000
768,dawn,night,36.000000
769,cocktail,restaurant,36.000000
770,daffodil,petal,36.000000
771,canyon,valley,36.000000
772,brick,house,36.000000
773,band,rock,36.000000
774,book,illustration,36.000000
775,desk,sit,36.000000
776,bright,sky,36.000000
777,autumn,sunny,36.000000
778,colour,yellow,36.000000
779,cold,weather,36.000000
780,blue,green,36.000000
781,glitter,sunlight,36.000000
782,drip,water,36.000000
783,day,misty,36.000000
784,food,noodle,36.000000
785,goat,milk,36.000000
786,pink,yellow,36.000000
787,floor,interior,36.000000
788,black,purple,36.000000
789,door,window,36.000000
790,city,skyline,36.000000
791,bear,live,35.000000
792,art,work,35.000000
793,pink,violet,35.000000
794,bath,room,35.000000
795,dew,rain,35.000000
796,boy,girl,35.000000
797,canyon,mountain,35.000000
798,white,yellow,35.000000
799,colour,shade,35.000000
800,banana,cherry,35.000000
801,mammal,rodent,35.000000
802,explosion,fire,35.000000
803,shore,swim,35.000000
804,cloud,misty,35.000000
805,sit,stand,35.000000
806,glitter,gold,35.000000
807,black,white,35.000000
808,light,neon,35.000000
809,machine,wash,35.000000
810,coffee,dinner,35.000000
811,feather,flamingo,35.000000
812,downtown,sidewalk,35.000000
813,cooking,eat,35.000000
814,feline,paw,35.000000
815,crow,gull,35.000000
816,festival,music,35.000000
817,dirt,road,35.000000
818,gull,pelican,35.000000
819,carrot,tomato,35.000000
820,blossom,tree,35.000000
821,restaurant,shop,35.000000
822,cherry,grape,35.000000
823,automobile,racing,35.000000
824,jazz,piano,35.000000
825,hawk,pelican,35.000000
826,baseball,play,35.000000
827,bloom,plant,35.000000
828,ceiling,wall,35.000000
829,beef,potato,35.000000
830,breakfast,restaurant,35.000000
831,black,colour,35.000000
832,bright,glitter,35.000000
833,hummingbird,nest,35.000000
834,feline,whisker,35.000000
835,beach,holiday,35.000000
836,sailing,shore,35.000000
837,design,graphic,35.000000
838,music,track,35.000000
839,air,cold,35.000000
840,dessert,eat,35.000000
841,chocolate,strawberry,35.000000
842,dinner,night,35.000000
843,dusk,sunrise,35.000000
844,boat,sink,35.000000
845,beef,cooking,35.000000
846,jacket,jean,35.000000
847,computer,lab,35.000000
848,downtown,skyline,35.000000
849,fun,game,35.000000
850,ivy,tree,35.000000
851,nest,wasp,35.000000
852,garden,pumpkin,35.000000
853,curl,haircut,35.000000
854,eat,meat,35.000000
855,outfit,skirt,35.000000
856,bacon,beef,35.000000
857,skyscraper,tower,35.000000
858,splash,wash,35.000000
859,daffodil,foliage,34.000000
860,garden,patio,34.000000
861,metro,subway,34.000000
862,beach,scenery,34.000000
863,photographer,wedding,34.000000
864,floor,room,34.000000
865,purple,yellow,34.000000
866,guitar,sing,34.000000
867,petal,yellow,34.000000
868,bead,necklace,34.000000
869,black,brown,34.000000
870,dessert,strawberry,34.000000
871,beef,lamb,34.000000
872,bread,potato,34.000000
873,fishing,harbour,34.000000
874,pug,terrier,34.000000
875,evening,time,34.000000
876,office,table,34.000000
877,cat,lick,34.000000
878,building,interior,34.000000
879,crochet,stitch,34.000000
880,spring,sunshine,34.000000
881,concert,jazz,34.000000
882,cooking,soup,34.000000
883,shade,sun,34.000000
884,tall,tower,34.000000
885,pepper,salad,34.000000
886,strawberry,tomato,34.000000
887,fruit,peel,34.000000
888,scenery,skyline,34.000000
889,green,yellow,34.000000
890,brown,orange,34.000000
891,colour,orange,34.000000
892,harbour,ship,34.000000
893,violet,yellow,34.000000
894,sport,swimming,34.000000
895,friend,happy,34.000000
896,blue,pink,34.000000
897,blossom,orange,34.000000
898,rail,station,34.000000
899,potato,salad,34.000000
900,interior,wall,34.000000
901,hawk,hummingbird,34.000000
902,cliff,coast,34.000000
903,feather,wing,34.000000
904,brown,yellow,34.000000
905,raspberry,sweet,34.000000
906,concert,sing,34.000000
907,art,craft,34.000000
908,bloom,foliage,34.000000
909,chicken,rice,34.000000
910,cherry,orange,34.000000
911,blossom,fruit,34.000000
912,animal,wild,34.000000
913,line,railway,34.000000
914,roof,tile,34.000000
915,concert,piano,34.000000
916,potato,rice,34.000000
917,cloud,sunshine,34.000000
918,marble,statue,34.000000
919,frozen,meat,34.000000
920,band,punk,34.000000
921,insect,reptile,34.000000
922,building,staircase,34.000000
923,bed,breakfast,34.000000
924,bloom,lily,34.000000
925,blonde,girl,34.000000
926,jean,outfit,34.000000
927,bread,cooking,34.000000
928,flower,violet,34.000000
929,peel,skin,34.000000
930,dessert,diner,34.000000
931,art,exhibition,34.000000
932,jacket,shirt,34.000000
933,brown,purple,34.000000
934,floor,patio,34.000000
935,downtown,highway,34.000000
936,purple,red,34.000000
937,dragonfly,frog,33.000000
938,mammal,monkey,33.000000
939,mist,morning,33.000000
940,feather,gull,33.000000
941,gull,stork,33.000000
942,dusk,morning,33.000000
943,guitar,play,33.000000
944,bloom,violet,33.000000
945,mallard,stork,33.000000
946,band,piano,33.000000
947,glitter,sky,33.000000
948,orange,pink,33.000000
949,potato,soup,33.000000
950,grey,violet,33.000000
951,construction,demolition,33.000000
952,scenery,valley,33.000000
953,morning,sky,33.000000
954,beach,cliff,33.000000
955,storm,tropical,33.000000
956,black,pink,33.000000
957,hat,jacket,33.000000
958,dragonfly,hummingbird,33.000000
959,pink,white,33.000000
960,blue,yellow,33.000000
961,cold,hot,33.000000
962,flower,pink,33.000000
963,bright,star,33.000000
964,restaurant,sushi,33.000000
965,guitar,keyboard,33.000000
966,diner,sushi,33.000000
967,furniture,room,33.000000
968,desert,scenery,33.000000
969,cafe,dinner,33.000000
970,bakery,cafe,33.000000
971,flamingo,pelican,33.000000
972,salad,sandwich,33.000000
973,bright,dark,33.000000
974,building,floor,33.000000
975,bacon,eat,33.000000
976,apartment,floor,33.000000
977,railway,underground,33.000000
978,lip,smile,33.000000
979,fungus,plant,33.000000
980,breakfast,diner,33.000000
981,feather,pelican,33.000000
982,bath,hot,33.000000
983,arch,roof,33.000000
984,game,match,33.000000
985,metro,rail,33.000000
986,decoration,wood,33.000000
987,building,demolition,33.000000
988,art,collage,33.000000
989,ship,sink,33.000000
990,grey,purple,33.000000
991,garden,lawn,33.000000
992,orange,violet,33.000000
993,ivy,oak,33.000000
994,dog,lick,33.000000
995,dawn,sunny,33.000000
996,fun,kid,33.000000
997,lunch,restaurant,33.000000
998,metro,underground,33.000000
999,eat,strawberry,33.000000
1000,foliage,rose,33.000000
1001,evening,sleep,33.000000
1002,construction,interior,33.000000
1003,weather,wet,33.000000
1004,fruit,nut,33.000000
1005,car,park,33.000000
1006,ink,pencil,32.000000
1007,frost,wet,32.000000
1008,mural,work,32.000000
1009,berry,blossom,32.000000
1010,decoration,lighting,32.000000
1011,man,muscle,32.000000
1012,drip,puddle,32.000000
1013,porch,stair,32.000000
